?SNDlib native format; type: network; version: 1.0
# network atlanta

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  192.169.2.1 ( 283.00 248.00 )
  192.169.2.2 ( 451.00 201.00 )
  192.169.2.3 ( 516.00 230.00 )
  192.169.2.4 ( 324.00 43.00 )
  192.169.2.5 ( 459.00 31.00 )
  192.169.2.6 ( 339.00 151.00 )
  192.169.2.7 ( 185.00 323.00 )
  192.169.2.8 ( 384.00 298.00 )
  192.169.2.9 ( 318.00 353.00 )
  192.169.2.10 ( 147.00 403.00 )
  192.169.2.11 ( 56.00 132.00 )
  192.169.2.12 ( 253.00 466.00 )
  192.169.2.13 ( 216.00 59.00 )
  192.169.2.14 ( 97.00 218.00 )
  192.169.2.15 ( 463.00 431.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( 192.169.2.1 192.169.2.6 ) 11000.00 0.00 67.80 0.00 ( 1000.00 950000.00 4000.00 1090000.00 )
  L2 ( 192.169.2.1 192.169.2.7 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L3 ( 192.169.2.1 192.169.2.8 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1010000.00 4000.00 1150000.00 )
  L4 ( 192.169.2.2 192.169.2.3 ) 8000.00 0.00 67.80 0.00 ( 1000.00 980000.00 4000.00 1120000.00 )
  L5 ( 192.169.2.2 192.169.2.5 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1790000.00 4000.00 1930000.00 )
  L6 ( 192.169.2.2 192.169.2.6 ) 15000.00 0.00 67.80 0.00 ( 1000.00 575000.00 4000.00 715000.00 )
  L7 ( 192.169.2.3 192.169.2.5 ) 0.00 0.00 67.80 0.00 ( 1000.00 2060000.00 4000.00 2200000.00 )
  L8 ( 192.169.2.3 192.169.2.8 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L9 ( 192.169.2.4 192.169.2.5 ) 0.00 0.00 67.80 0.00 ( 1000.00 1295000.00 4000.00 1435000.00 )
  L10 ( 192.169.2.4 192.169.2.6 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1925000.00 4000.00 2065000.00 )
  L11 ( 192.169.2.6 192.169.2.13 ) 2000.00 0.00 67.80 0.00 ( 1000.00 3200000.00 4000.00 3340000.00 )
  L12 ( 192.169.2.7 192.169.2.10 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1145000.00 4000.00 1285000.00 )
  L13 ( 192.169.2.7 192.169.2.14 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1445000.00 4000.00 1585000.00 )
  L14 ( 192.169.2.8 192.169.2.9 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1115000.00 4000.00 1255000.00 )
  L15 ( 192.169.2.8 192.169.2.15 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1190000.00 4000.00 1330000.00 )
  L16 ( 192.169.2.9 192.169.2.10 ) 2000.00 0.00 67.80 0.00 ( 1000.00 935000.00 4000.00 1075000.00 )
  L17 ( 192.169.2.9 192.169.2.12 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1130000.00 4000.00 1270000.00 )
  L18 ( 192.169.2.9 192.169.2.15 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1070000.00 4000.00 1210000.00 )
  L19 ( 192.169.2.10 192.169.2.12 ) 0.00 0.00 67.80 0.00 ( 1000.00 1505000.00 4000.00 1645000.00 )
  L20 ( 192.169.2.11 192.169.2.13 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1085000.00 4000.00 1225000.00 )
  L21 ( 192.169.2.11 192.169.2.14 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1700000.00 4000.00 1840000.00 )
  L22 ( 192.169.2.13 192.169.2.14 ) 1000.00 0.00 67.80 0.00 ( 1000.00 830000.00 4000.00 970000.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  D1 ( 192.169.2.1 192.169.2.2 ) 1 5981.00 UNLIMITED
  D2 ( 192.169.2.1 192.169.2.3 ) 1 816.00 UNLIMITED
  D3 ( 192.169.2.1 192.169.2.4 ) 1 563.00 UNLIMITED
  D4 ( 192.169.2.1 192.169.2.5 ) 1 431.00 UNLIMITED
  D5 ( 192.169.2.1 192.169.2.6 ) 1 1592.00 UNLIMITED
  D6 ( 192.169.2.1 192.169.2.7 ) 1 444.00 UNLIMITED
  D7 ( 192.169.2.1 192.169.2.8 ) 1 576.00 UNLIMITED
  D8 ( 192.169.2.1 192.169.2.9 ) 1 491.00 UNLIMITED
  D9 ( 192.169.2.1 192.169.2.10 ) 1 563.00 UNLIMITED
  D10 ( 192.169.2.1 192.169.2.11 ) 1 252.00 UNLIMITED
  D11 ( 192.169.2.1 192.169.2.12 ) 1 695.00 UNLIMITED
  D12 ( 192.169.2.1 192.169.2.13 ) 1 324.00 UNLIMITED
  D13 ( 192.169.2.1 192.169.2.14 ) 1 1556.00 UNLIMITED
  D14 ( 192.169.2.1 192.169.2.15 ) 1 695.00 UNLIMITED
  D15 ( 192.169.2.2 192.169.2.1 ) 1 7132.00 UNLIMITED
  D16 ( 192.169.2.2 192.169.2.3 ) 1 2644.00 UNLIMITED
  D17 ( 192.169.2.2 192.169.2.4 ) 1 2239.00 UNLIMITED
  D18 ( 192.169.2.2 192.169.2.5 ) 1 755.00 UNLIMITED
  D19 ( 192.169.2.2 192.169.2.6 ) 1 6102.00 UNLIMITED
  D20 ( 192.169.2.2 192.169.2.7 ) 1 1832.00 UNLIMITED
  D21 ( 192.169.2.2 192.169.2.8 ) 1 4930.00 UNLIMITED
  D22 ( 192.169.2.2 192.169.2.9 ) 1 253.00 UNLIMITED
  D23 ( 192.169.2.2 192.169.2.10 ) 1 1952.00 UNLIMITED
  D24 ( 192.169.2.2 192.169.2.11 ) 1 755.00 UNLIMITED
  D25 ( 192.169.2.2 192.169.2.12 ) 1 1090.00 UNLIMITED
  D26 ( 192.169.2.2 192.169.2.13 ) 1 563.00 UNLIMITED
  D27 ( 192.169.2.2 192.169.2.14 ) 1 419.00 UNLIMITED
  D28 ( 192.169.2.2 192.169.2.15 ) 1 1855.00 UNLIMITED
  D29 ( 192.169.2.3 192.169.2.1 ) 1 977.00 UNLIMITED
  D30 ( 192.169.2.3 192.169.2.2 ) 1 3151.00 UNLIMITED
  D31 ( 192.169.2.3 192.169.2.4 ) 1 312.00 UNLIMITED
  D32 ( 192.169.2.3 192.169.2.5 ) 1 240.00 UNLIMITED
  D33 ( 192.169.2.3 192.169.2.6 ) 1 252.00 UNLIMITED
  D34 ( 192.169.2.3 192.169.2.7 ) 1 38.00 UNLIMITED
  D35 ( 192.169.2.3 192.169.2.8 ) 1 1149.00 UNLIMITED
  D36 ( 192.169.2.3 192.169.2.9 ) 1 85.00 UNLIMITED
  D37 ( 192.169.2.3 192.169.2.10 ) 1 97.00 UNLIMITED
  D38 ( 192.169.2.3 192.169.2.11 ) 1 97.00 UNLIMITED
  D39 ( 192.169.2.3 192.169.2.12 ) 1 145.00 UNLIMITED
  D40 ( 192.169.2.3 192.169.2.13 ) 1 85.00 UNLIMITED
  D41 ( 192.169.2.3 192.169.2.14 ) 1 37.00 UNLIMITED
  D42 ( 192.169.2.3 192.169.2.15 ) 1 431.00 UNLIMITED
  D43 ( 192.169.2.4 192.169.2.1 ) 1 678.00 UNLIMITED
  D44 ( 192.169.2.4 192.169.2.2 ) 1 2675.00 UNLIMITED
  D45 ( 192.169.2.4 192.169.2.3 ) 1 370.00 UNLIMITED
  D46 ( 192.169.2.4 192.169.2.5 ) 1 982.00 UNLIMITED
  D47 ( 192.169.2.4 192.169.2.6 ) 1 922.00 UNLIMITED
  D48 ( 192.169.2.4 192.169.2.7 ) 1 72.00 UNLIMITED
  D49 ( 192.169.2.4 192.169.2.8 ) 1 158.00 UNLIMITED
  D50 ( 192.169.2.4 192.169.2.9 ) 1 72.00 UNLIMITED
  D51 ( 192.169.2.4 192.169.2.10 ) 1 240.00 UNLIMITED
