?SNDlib native format; type: network; version: 1.0
# network atlanta

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  172.10.1.10 ( 283.00 248.00 172.20.1.10 2)
  172.10.1.20 ( 451.00 201.00 172.20.1.20 2)
  172.10.1.30 ( 516.00 230.00 172.20.1.30 1)
  172.10.1.40 ( 324.00 43.00 172.20.1.40 1)
  172.10.1.50 ( 459.00 31.00 172.20.1.50 2)
  172.10.1.60 ( 339.00 151.00 172.20.1.60 2)
  172.10.1.70 ( 185.00 323.00 172.20.1.70 1)
  172.10.1.80 ( 384.00 298.00 172.20.1.80 1)
  172.10.1.90 ( 318.00 353.00 172.20.1.90 2)
  172.10.1.100 ( 147.00 403.00 172.20.1.100 1)
  172.10.1.110 ( 56.00 132.00 172.20.1.110 0)
  172.10.1.120 ( 253.00 466.00 172.20.1.120 0)
  172.10.1.130 ( 216.00 59.00 172.20.1.130 1)
  172.10.1.140 ( 97.00 218.00 172.20.1.140 1)
  172.10.1.150 ( 463.00 431.00 172.20.1.150 0)
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( 172.10.1.10 172.10.1.60 ) 11000.00 0.00 67.80 0.00 ( 1000.00 950000.00 4000.00 1090000.00 )
  L2 ( 172.10.1.10 172.10.1.70) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L3 ( 172.10.1.10 172.10.1.80 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1010000.00 4000.00 1150000.00 )
  L4 ( 172.10.1.20 172.10.1.30 ) 8000.00 0.00 67.80 0.00 ( 1000.00 980000.00 4000.00 1120000.00 )
  L5 ( 172.10.1.20 172.10.1.50 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1790000.00 4000.00 1930000.00 )
  L6 ( 172.10.1.20 172.10.1.60 ) 15000.00 0.00 67.80 0.00 ( 1000.00 575000.00 4000.00 715000.00 )
  L7 ( 172.10.1.30 172.10.1.50 ) 0.00 0.00 67.80 0.00 ( 1000.00 2060000.00 4000.00 2200000.00 )
  L8 ( 172.10.1.30 172.10.1.80 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L9 ( 172.10.1.40 172.10.1.50 ) 0.00 0.00 67.80 0.00 ( 1000.00 1295000.00 4000.00 1435000.00 )
  L10 ( 172.10.1.40 172.10.1.60 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1925000.00 4000.00 2065000.00 )
  L11 ( 172.10.1.60 172.10.1.130 ) 2000.00 0.00 67.80 0.00 ( 1000.00 3200000.00 4000.00 3340000.00 )
  L12 ( 172.10.1.70 172.10.1.100 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1145000.00 4000.00 1285000.00 )
  L13 ( 172.10.1.70 172.10.1.140 ) 5000.00 0.00 67.80 0.00 ( 1000.00 1445000.00 4000.00 1585000.00 )
  L14 ( 172.10.1.80 172.10.1.90 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1115000.00 4000.00 1255000.00 )
  L15 ( 172.10.1.80 172.10.1.150 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1190000.00 4000.00 1330000.00 )
  L16 ( 172.10.1.90 172.10.1.100 ) 2000.00 0.00 67.80 0.00 ( 1000.00 935000.00 4000.00 1075000.00 )
  L17 ( 172.10.1.90 172.10.1.120 ) 3000.00 0.00 67.80 0.00 ( 1000.00 1130000.00 4000.00 1270000.00 )
  L18 ( 172.10.1.90 172.10.1.150 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1070000.00 4000.00 1210000.00 )
  L19 ( 172.10.1.100 172.10.1.120 ) 0.00 0.00 67.80 0.00 ( 1000.00 1505000.00 4000.00 1645000.00 )
  L20 ( 172.10.1.110 172.10.1.130 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1085000.00 4000.00 1225000.00 )
  L21 ( 172.10.1.110 172.10.1.140 ) 1000.00 0.00 67.80 0.00 ( 1000.00 1700000.00 4000.00 1840000.00 )
  L22 ( 172.10.1.130 172.10.1.140 ) 1000.00 0.00 67.80 0.00 ( 1000.00 830000.00 4000.00 970000.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  D1 ( 172.10.1.1 172.10.1.2 ) 1 5981.00 UNLIMITED
  D2 ( 172.10.1.1 172.10.1.3 ) 1 816.00 UNLIMITED
  D3 ( 172.10.1.1 172.10.1.4 ) 1 563.00 UNLIMITED
  D4 ( 172.10.1.1 172.10.1.5 ) 1 431.00 UNLIMITED
  D5 ( 172.10.1.1 172.10.1.6 ) 1 1592.00 UNLIMITED
  D6 ( 172.10.1.1 172.10.1.7 ) 1 444.00 UNLIMITED
  D7 ( 172.10.1.1 172.10.1.8 ) 1 576.00 UNLIMITED
  D8 ( 172.10.1.1 172.10.1.9 ) 1 491.00 UNLIMITED
  D9 ( 172.10.1.1 172.10.1.10 ) 1 563.00 UNLIMITED
  D10 ( 172.10.1.1 172.10.1.11 ) 1 252.00 UNLIMITED
  D11 ( 172.10.1.1 172.10.1.12 ) 1 695.00 UNLIMITED
  D12 ( 172.10.1.1 172.10.1.13 ) 1 324.00 UNLIMITED
  D13 ( 172.10.1.1 172.10.1.14 ) 1 1556.00 UNLIMITED
  D14 ( 172.10.1.1 172.10.1.15 ) 1 695.00 UNLIMITED
  D15 ( 172.10.1.2 172.10.1.1 ) 1 7132.00 UNLIMITED
  D16 ( 172.10.1.2 172.10.1.3 ) 1 2644.00 UNLIMITED
  D17 ( 172.10.1.2 172.10.1.4 ) 1 2239.00 UNLIMITED
  D18 ( 172.10.1.2 172.10.1.5 ) 1 755.00 UNLIMITED
  D19 ( 172.10.1.2 172.10.1.6 ) 1 6102.00 UNLIMITED
  D20 ( 172.10.1.2 172.10.1.7 ) 1 1832.00 UNLIMITED
  D21 ( 172.10.1.2 172.10.1.8 ) 1 4930.00 UNLIMITED
  D22 ( 172.10.1.2 172.10.1.9 ) 1 253.00 UNLIMITED
  D23 ( 172.10.1.2 172.10.1.10 ) 1 1952.00 UNLIMITED
  D24 ( 172.10.1.2 172.10.1.11 ) 1 755.00 UNLIMITED
  D25 ( 172.10.1.2 172.10.1.12 ) 1 1090.00 UNLIMITED
  D26 ( 172.10.1.2 172.10.1.13 ) 1 563.00 UNLIMITED
  D27 ( 172.10.1.2 172.10.1.14 ) 1 419.00 UNLIMITED
  D28 ( 172.10.1.2 172.10.1.15 ) 1 1855.00 UNLIMITED
  D29 ( 172.10.1.3 172.10.1.1 ) 1 977.00 UNLIMITED
  D30 ( 172.10.1.3 172.10.1.2 ) 1 3151.00 UNLIMITED
  D31 ( 172.10.1.3 172.10.1.4 ) 1 312.00 UNLIMITED
  D32 ( 172.10.1.3 172.10.1.5 ) 1 240.00 UNLIMITED
  D33 ( 172.10.1.3 172.10.1.6 ) 1 252.00 UNLIMITED
  D34 ( 172.10.1.3 172.10.1.7 ) 1 38.00 UNLIMITED
  D35 ( 172.10.1.3 172.10.1.8 ) 1 1149.00 UNLIMITED
  D36 ( 172.10.1.3 172.10.1.9 ) 1 85.00 UNLIMITED
  D37 ( 172.10.1.3 172.10.1.10 ) 1 97.00 UNLIMITED
  D38 ( 172.10.1.3 172.10.1.11 ) 1 97.00 UNLIMITED
  D39 ( 172.10.1.3 172.10.1.12 ) 1 145.00 UNLIMITED
  D40 ( 172.10.1.3 172.10.1.13 ) 1 85.00 UNLIMITED
  D41 ( 172.10.1.3 172.10.1.14 ) 1 37.00 UNLIMITED
  D42 ( 172.10.1.3 172.10.1.15 ) 1 431.00 UNLIMITED
  D43 ( 172.10.1.4 172.10.1.1 ) 1 678.00 UNLIMITED
  D44 ( 172.10.1.4 172.10.1.2 ) 1 2675.00 UNLIMITED
  D45 ( 172.10.1.4 172.10.1.3 ) 1 370.00 UNLIMITED
  D46 ( 172.10.1.4 172.10.1.5 ) 1 982.00 UNLIMITED
  D47 ( 172.10.1.4 172.10.1.6 ) 1 922.00 UNLIMITED
  D48 ( 172.10.1.4 172.10.1.7 ) 1 72.00 UNLIMITED
  D49 ( 172.10.1.4 172.10.1.8 ) 1 158.00 UNLIMITED
  D50 ( 172.10.1.4 172.10.1.9 ) 1 72.00 UNLIMITED
  D51 ( 172.10.1.4 172.10.1.10 ) 1 240.00 UNLIMITED
  D52 ( 172.10.1.4 172.10.1.11 ) 1 145.00 UNLIMITED
  D53 ( 172.10.1.4 172.10.1.12 ) 1 145.00 UNLIMITED
  D54 ( 172.10.1.4 172.10.1.13 ) 1 1521.00 UNLIMITED
