?SNDlib native format; type: network; version: 1.0
# network newyork

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  192.169.2.1 ( 237.00 338.00 )
  192.169.2.2 ( 130.00 207.00 )
  192.169.2.3 ( 126.00 531.00 )
  192.169.2.4 ( 209.00 523.00 )
  192.169.2.5 ( 345.00 232.00 )
  192.169.2.6 ( 95.00 350.00 )
  192.169.2.7 ( 302.00 404.00 )
  192.169.2.8 ( 161.00 454.00 )
  192.169.2.9 ( 394.00 499.00 )
  192.169.2.10 ( 389.00 656.00 )
  192.169.2.11 ( 237.00 645.00 )
  192.169.2.12 ( 277.00 70.00 )
  192.169.2.13 ( 540.00 147.00 )
  192.169.2.14 ( 592.00 503.00 )
  192.169.2.15 ( 490.00 349.00 )
  192.169.2.16 ( 463.00 543.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( 192.169.2.1 192.169.2.2 ) 0.00 0.00 2.00 0.00 ( 1000.00 44400.00 4000.00 54400.00 )
  L2 ( 192.169.2.1 192.169.2.5 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L3 ( 192.169.2.1 192.169.2.6 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L4 ( 192.169.2.1 192.169.2.7 ) 0.00 0.00 2.00 0.00 ( 1000.00 74800.00 4000.00 84800.00 )
  L5 ( 192.169.2.1 192.169.2.8 ) 0.00 0.00 2.00 0.00 ( 1000.00 74800.00 4000.00 84800.00 )
  L6 ( 192.169.2.1 192.169.2.12 ) 0.00 0.00 2.00 0.00 ( 1000.00 74800.00 4000.00 84800.00 )
  L7 ( 192.169.2.1 192.169.2.13 ) 0.00 0.00 2.00 0.00 ( 1000.00 105200.00 4000.00 115200.00 )
  L8 ( 192.169.2.1 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 90000.00 4000.00 100000.00 )
  L9 ( 192.169.2.2 192.169.2.5 ) 0.00 0.00 2.00 0.00 ( 1000.00 29200.00 4000.00 39200.00 )
  L10 ( 192.169.2.2 192.169.2.6 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L11 ( 192.169.2.2 192.169.2.12 ) 0.00 0.00 2.00 0.00 ( 1000.00 74800.00 4000.00 84800.00 )
  L12 ( 192.169.2.2 192.169.2.13 ) 0.00 0.00 2.00 0.00 ( 1000.00 105200.00 4000.00 115200.00 )
  L13 ( 192.169.2.2 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 105200.00 4000.00 115200.00 )
  L14 ( 192.169.2.3 192.169.2.4 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L15 ( 192.169.2.3 192.169.2.6 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L16 ( 192.169.2.3 192.169.2.7 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L17 ( 192.169.2.3 192.169.2.8 ) 0.00 0.00 2.00 0.00 ( 1000.00 29200.00 4000.00 39200.00 )
  L18 ( 192.169.2.3 192.169.2.11 ) 0.00 0.00 2.00 0.00 ( 1000.00 74800.00 4000.00 84800.00 )
  L19 ( 192.169.2.4 192.169.2.7 ) 0.00 0.00 2.00 0.00 ( 1000.00 74800.00 4000.00 84800.00 )
  L20 ( 192.169.2.4 192.169.2.8 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L21 ( 192.169.2.4 192.169.2.9 ) 0.00 0.00 2.00 0.00 ( 1000.00 105200.00 4000.00 115200.00 )
  L22 ( 192.169.2.4 192.169.2.10 ) 0.00 0.00 2.00 0.00 ( 1000.00 90000.00 4000.00 100000.00 )
  L23 ( 192.169.2.4 192.169.2.11 ) 0.00 0.00 2.00 0.00 ( 1000.00 29200.00 4000.00 39200.00 )
  L24 ( 192.169.2.5 192.169.2.12 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L25 ( 192.169.2.5 192.169.2.13 ) 0.00 0.00 2.00 0.00 ( 1000.00 90000.00 4000.00 100000.00 )
  L26 ( 192.169.2.5 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 105200.00 4000.00 115200.00 )
  L27 ( 192.169.2.6 192.169.2.7 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L28 ( 192.169.2.6 192.169.2.8 ) 0.00 0.00 2.00 0.00 ( 1000.00 44400.00 4000.00 54400.00 )
  L29 ( 192.169.2.7 192.169.2.8 ) 0.00 0.00 2.00 0.00 ( 1000.00 44400.00 4000.00 54400.00 )
  L30 ( 192.169.2.7 192.169.2.9 ) 0.00 0.00 2.00 0.00 ( 1000.00 120400.00 4000.00 130400.00 )
  L31 ( 192.169.2.7 192.169.2.10 ) 0.00 0.00 2.00 0.00 ( 1000.00 120400.00 4000.00 130400.00 )
  L32 ( 192.169.2.7 192.169.2.12 ) 0.00 0.00 2.00 0.00 ( 1000.00 120400.00 4000.00 130400.00 )
  L33 ( 192.169.2.7 192.169.2.13 ) 0.00 0.00 2.00 0.00 ( 1000.00 135600.00 4000.00 145600.00 )
  L34 ( 192.169.2.7 192.169.2.14 ) 0.00 0.00 2.00 0.00 ( 1000.00 135600.00 4000.00 145600.00 )
  L35 ( 192.169.2.7 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 90000.00 4000.00 100000.00 )
  L36 ( 192.169.2.9 192.169.2.10 ) 0.00 0.00 2.00 0.00 ( 1000.00 44400.00 4000.00 54400.00 )
  L37 ( 192.169.2.9 192.169.2.11 ) 0.00 0.00 2.00 0.00 ( 1000.00 90000.00 4000.00 100000.00 )
  L38 ( 192.169.2.9 192.169.2.14 ) 0.00 0.00 2.00 0.00 ( 1000.00 120400.00 4000.00 130400.00 )
  L39 ( 192.169.2.9 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 166000.00 4000.00 176000.00 )
  L40 ( 192.169.2.9 192.169.2.16 ) 0.00 0.00 2.00 0.00 ( 1000.00 257200.00 4000.00 267200.00 )
  L41 ( 192.169.2.10 192.169.2.11 ) 0.00 0.00 2.00 0.00 ( 1000.00 74800.00 4000.00 84800.00 )
  L42 ( 192.169.2.10 192.169.2.14 ) 0.00 0.00 2.00 0.00 ( 1000.00 150800.00 4000.00 160800.00 )
  L43 ( 192.169.2.10 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 181200.00 4000.00 191200.00 )
  L44 ( 192.169.2.12 192.169.2.13 ) 0.00 0.00 2.00 0.00 ( 1000.00 59600.00 4000.00 69600.00 )
  L45 ( 192.169.2.12 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 90000.00 4000.00 100000.00 )
  L46 ( 192.169.2.13 192.169.2.14 ) 0.00 0.00 2.00 0.00 ( 1000.00 150800.00 4000.00 160800.00 )
  L47 ( 192.169.2.13 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 74800.00 4000.00 84800.00 )
  L48 ( 192.169.2.14 192.169.2.15 ) 0.00 0.00 2.00 0.00 ( 1000.00 105200.00 4000.00 115200.00 )
  L49 ( 192.169.2.14 192.169.2.16 ) 0.00 0.00 2.00 0.00 ( 1000.00 226800.00 4000.00 236800.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  D1 ( N1 N2 ) 1 42.00 UNLIMITED
  D2 ( N1 N3 ) 1 42.00 UNLIMITED
  D3 ( N1 N4 ) 1 22.00 UNLIMITED
  D4 ( N1 N5 ) 1 20.00 UNLIMITED
  D5 ( N1 N6 ) 1 20.00 UNLIMITED
  D6 ( N1 N7 ) 1 20.00 UNLIMITED
  D7 ( N1 N8 ) 1 20.00 UNLIMITED
  D8 ( N1 N9 ) 1 17.00 UNLIMITED
  D9 ( N1 N10 ) 1 7.00 UNLIMITED
  D10 ( N1 N11 ) 1 7.00 UNLIMITED
  D11 ( N1 N12 ) 1 17.00 UNLIMITED
  D12 ( N1 N13 ) 1 7.00 UNLIMITED
  D13 ( N1 N14 ) 1 17.00 UNLIMITED
  D14 ( N1 N15 ) 1 17.00 UNLIMITED
  D15 ( N1 N16 ) 1 7.00 UNLIMITED
  D16 ( N2 N1 ) 1 41.00 UNLIMITED
  D17 ( N2 N3 ) 1 14.00 UNLIMITED
  D18 ( N2 N4 ) 1 14.00 UNLIMITED
  D19 ( N2 N5 ) 1 7.00 UNLIMITED
  D20 ( N2 N6 ) 1 7.00 UNLIMITED
  D21 ( N2 N7 ) 1 7.00 UNLIMITED
  D22 ( N2 N8 ) 1 7.00 UNLIMITED
  D23 ( N2 N9 ) 1 11.00 UNLIMITED
  D24 ( N2 N10 ) 1 5.00 UNLIMITED
  D25 ( N2 N11 ) 1 5.00 UNLIMITED
  D26 ( N2 N12 ) 1 11.00 UNLIMITED
  D27 ( N2 N13 ) 1 5.00 UNLIMITED
  D28 ( N2 N14 ) 1 11.00 UNLIMITED
  D29 ( N2 N15 ) 1 11.00 UNLIMITED
  D30 ( N2 N16 ) 1 5.00 UNLIMITED
  D31 ( N3 N1 ) 1 41.00 UNLIMITED
  D32 ( N3 N2 ) 1 14.00 UNLIMITED
  D33 ( N3 N4 ) 1 14.00 UNLIMITED
  D34 ( N3 N5 ) 1 7.00 UNLIMITED
  D35 ( N3 N6 ) 1 7.00 UNLIMITED
  D36 ( N3 N7 ) 1 7.00 UNLIMITED
  D37 ( N3 N8 ) 1 7.00 UNLIMITED
  D38 ( N3 N9 ) 1 11.00 UNLIMITED
  D39 ( N3 N10 ) 1 5.00 UNLIMITED
  D40 ( N3 N11 ) 1 5.00 UNLIMITED
  D41 ( N3 N12 ) 1 11.00 UNLIMITED
  D42 ( N3 N13 ) 1 5.00 UNLIMITED
  D43 ( N3 N14 ) 1 11.00 UNLIMITED
  D44 ( N3 N15 ) 1 11.00 UNLIMITED
  D45 ( N3 N16 ) 1 5.00 UNLIMITED
  D46 ( N4 N1 ) 1 21.00 UNLIMITED
  D47 ( N4 N2 ) 1 14.00 UNLIMITED
  D48 ( N4 N3 ) 1 14.00 UNLIMITED
  D49 ( N4 N5 ) 1 7.00 UNLIMITED
  D50 ( N4 N6 ) 1 7.00 UNLIMITED
  D51 ( N4 N7 ) 1 7.00 UNLIMITED
  D52 ( N4 N8 ) 1 7.00 UNLIMITED
  D53 ( N4 N9 ) 1 11.00 UNLIMITED
  D54 ( N4 N10 ) 1 5.00 UNLIMITED
  D55 ( N4 N11 ) 1 5.00 UNLIMITED
  D56 ( N4 N12 ) 1 11.00 UNLIMITED
  D57 ( N4 N13 ) 1 5.00 UNLIMITED
  D58 ( N4 N14 ) 1 11.00 UNLIMITED
  D59 ( N4 N15 ) 1 11.00 UNLIMITED
  D60 ( N4 N16 ) 1 5.00 UNLIMITED
  D61 ( N5 N1 ) 1 9.00 UNLIMITED
  D62 ( N5 N2 ) 1 6.00 UNLIMITED
  D63 ( N5 N3 ) 1 6.00 UNLIMITED
  D64 ( N5 N4 ) 1 16.00 UNLIMITED
  D65 ( N5 N6 ) 1 3.00 UNLIMITED
  D66 ( N5 N7 ) 1 3.00 UNLIMITED
  D67 ( N5 N8 ) 1 3.00 UNLIMITED
  D68 ( N5 N9 ) 1 5.00 UNLIMITED
  D69 ( N5 N10 ) 1 2.00 UNLIMITED
  D70 ( N5 N11 ) 1 2.00 UNLIMITED
  D71 ( N5 N12 ) 1 5.00 UNLIMITED
  D72 ( N5 N13 ) 1 2.00 UNLIMITED
  D73 ( N5 N14 ) 1 5.00 UNLIMITED
  D74 ( N5 N15 ) 1 5.00 UNLIMITED
  D75 ( N5 N16 ) 1 2.00 UNLIMITED
  D76 ( N6 N1 ) 1 9.00 UNLIMITED
  D77 ( N6 N2 ) 1 6.00 UNLIMITED
  D78 ( N6 N3 ) 1 6.00 UNLIMITED
  D79 ( N6 N4 ) 1 16.00 UNLIMITED
  D80 ( N6 N5 ) 1 3.00 UNLIMITED
  D81 ( N6 N7 ) 1 3.00 UNLIMITED
  D82 ( N6 N8 ) 1 3.00 UNLIMITED
  D83 ( N6 N9 ) 1 5.00 UNLIMITED
  D84 ( N6 N10 ) 1 2.00 UNLIMITED
  D85 ( N6 N11 ) 1 2.00 UNLIMITED
  D86 ( N6 N12 ) 1 5.00 UNLIMITED
  D87 ( N6 N13 ) 1 2.00 UNLIMITED
  D88 ( N6 N14 ) 1 5.00 UNLIMITED
  D89 ( N6 N15 ) 1 5.00 UNLIMITED
  D90 ( N6 N16 ) 1 2.00 UNLIMITED
  D91 ( N7 N1 ) 1 9.00 UNLIMITED
  D92 ( N7 N2 ) 1 6.00 UNLIMITED
  D93 ( N7 N3 ) 1 6.00 UNLIMITED
  D94 ( N7 N4 ) 1 16.00 UNLIMITED
  D95 ( N7 N5 ) 1 3.00 UNLIMITED
  D96 ( N7 N6 ) 1 3.00 UNLIMITED
  D97 ( N7 N8 ) 1 3.00 UNLIMITED
  D98 ( N7 N9 ) 1 5.00 UNLIMITED
  D99 ( N7 N10 ) 1 2.00 UNLIMITED
  D100 ( N7 N11 ) 1 2.00 UNLIMITED
  D101 ( N7 N12 ) 1 5.00 UNLIMITED
  D102 ( N7 N13 ) 1 2.00 UNLIMITED
  D103 ( N7 N14 ) 1 5.00 UNLIMITED
  D104 ( N7 N15 ) 1 5.00 UNLIMITED
  D105 ( N7 N16 ) 1 2.00 UNLIMITED
  D106 ( N8 N1 ) 1 9.00 UNLIMITED
  D107 ( N8 N2 ) 1 6.00 UNLIMITED
  D108 ( N8 N3 ) 1 6.00 UNLIMITED
  D109 ( N8 N4 ) 1 16.00 UNLIMITED
  D110 ( N8 N5 ) 1 3.00 UNLIMITED
  D111 ( N8 N6 ) 1 3.00 UNLIMITED
  D112 ( N8 N7 ) 1 3.00 UNLIMITED
  D113 ( N8 N9 ) 1 5.00 UNLIMITED
  D114 ( N8 N10 ) 1 2.00 UNLIMITED
  D115 ( N8 N11 ) 1 2.00 UNLIMITED
  D116 ( N8 N12 ) 1 5.00 UNLIMITED
  D117 ( N8 N13 ) 1 2.00 UNLIMITED
  D118 ( N8 N14 ) 1 5.00 UNLIMITED
  D119 ( N8 N15 ) 1 5.00 UNLIMITED
  D120 ( N8 N16 ) 1 2.00 UNLIMITED
  D121 ( N9 N1 ) 1 16.00 UNLIMITED
  D122 ( N9 N2 ) 1 11.00 UNLIMITED
  D123 ( N9 N3 ) 1 11.00 UNLIMITED
  D124 ( N9 N4 ) 1 11.00 UNLIMITED
  D125 ( N9 N5 ) 1 5.00 UNLIMITED
  D126 ( N9 N6 ) 1 5.00 UNLIMITED
  D127 ( N9 N7 ) 1 5.00 UNLIMITED
  D128 ( N9 N8 ) 1 5.00 UNLIMITED
  D129 ( N9 N10 ) 1 10.00 UNLIMITED
  D130 ( N9 N11 ) 1 10.00 UNLIMITED
  D131 ( N9 N12 ) 1 9.00 UNLIMITED
  D132 ( N9 N13 ) 1 4.00 UNLIMITED
